Показник,Територіальний розріз,Вид економічної діяльності,Періодичність,Одиниця виміру,Масштабування,Кількість десяткових знаків,Спеціальне значення даних,Примітки набору даних,Примітки спостереження,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Витрати на наукові дослідження і розробки,Україна,Будування суден і човнів,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво хімічних речовин і хімічної продукції,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,554006.0,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Телекомунікації (електрозв'язок),Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво військових транспортних засобів,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,121814.0,107614.0,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Видання програмного забезпечення,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Переробна промисловість,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,918496.3,1513365.6,831231.8,607847.7,1228805.9,523433.3,2866427.1,2979581.0,5411617.7
Витрати на наукові дослідження і розробки,Україна,Державне управління й оборона; обов'язкове соціальне страхування,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,1862.4,3256.3,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,7382.7,6721.2,,,,,,,725002.5
Витрати на наукові дослідження і розробки,Україна,Виробництво меблів,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Дослідження й експериментальні розробки у сфері природничих і технічних наук,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,10404850.9,11606030.5,13116449.9,12590928.6,14726847.4,13806262.6,13167782.0,17179733.2,18645845.1
Витрати на наукові дослідження і розробки,Україна,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,141933.2,220350.3,,119650.7,135685.7,147894.7,146175.2,345632.8,350646.1
Витрати на наукові дослідження і розробки,Україна,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Виробництво комп'ютерів, електронної та оптичної продукції",Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,45484.5,73446.7,90861.1,44587.9,,,,,
Витрати на наукові дослідження і розробки,Україна,Ремонт і монтаж машин і устатковання,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Оптова торгівля інформаційним і комунікаційним устаткованням,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,1987.7,1388.5,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Наукові дослідження та розробки,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,11021047.3,12343859.1,14006511.3,13491411.7,15668005.5,14716690.9,14058468.8,18309599.8,19880096.7
Витрати на наукові дослідження і розробки,Україна,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність",Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,31614.2,36274.2,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво іншої неметалевої мінеральної продукції,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво оптичних приладів і фотографічного устатковання,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво медичних і стоматологічних інструментів і матеріалів,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Надання інформаційних послуг,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво магнітних і оптичних носіїв даних,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Металургійне виробництво,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Постачання електроенергії, газу, пари та кондиційованого повітря",Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Операції з нерухомим майном,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,14656.4,15292.8,,,13662.6,,,634.2,
Витрати на наукові дослідження і розробки,Україна,"Виробництво готових металевих виробів, крім машин і устатковання",Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,29279.8,12115.3,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Видавнича діяльність,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Освіта,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,993471.5,1140601.0,,,1617837.1,1486055.7,1617315.1,1959028.8,2377681.8
Витрати на наукові дослідження і розробки,Україна,Виробництво іншої продукції,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Виробництво повітряних і космічних літальних апаратів, супутнього устатковання",Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,159056.8,218028.6,,,,,,,
