"Показник","Територіальний розріз","Категорія розрізу","Вид економічної діяльності","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Витрати на наукові дослідження і розробки","Вінницька","Галузі наук","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","39618.3","50756.2","67545.9","76777.3","80908.3","120454.5",""
"Витрати на наукові дослідження і розробки","Вінницька","Види витрат","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","","","67545.9","76777.3","80908.3","120454.5",""
"Витрати на наукові дослідження і розробки","Автономна Республіка Крим","Види досліджень і розробок","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","Інформація відсутня.","","","","","","","","","",""
"Витрати на наукові дослідження і розробки","Волинська","Джерела фінансування","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","9948.3","9994.2","11303.4","10700","8743","11059.4",""
"Витрати на наукові дослідження і розробки","Житомирська","Види витрат","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","","","26893.5","30544","29446.1","30799.9",""
"Витрати на наукові дослідження і розробки","Волинська","Усього","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","13604.1","18414.9","18434.7","9948.3","9994.2","11303.4","10700","8743","11059.4","15130"
"Витрати на наукові дослідження і розробки","Дніпропетровська","Джерела фінансування","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","2310005.4","1511469.5","2091685.3","1831110.3","3478511.9","2770319.5",""
"Витрати на наукові дослідження і розробки","Дніпропетровська","Галузі наук","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","2310005.4","1511469.5","2091685.3","1831110.3","3478511.9","2770319.5",""
"Витрати на наукові дослідження і розробки","Житомирська","Галузі наук","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","26372.1","26062.2","26893.5","30544","29446.1","30799.9",""
"Витрати на наукові дослідження і розробки","Донецька","Усього","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","18902.8","13244.9","16235.9","32503.1","22316.2","37763","21562.7","21879.5","28924.8","24930.2"
"Витрати на наукові дослідження і розробки","Житомирська","Джерела фінансування","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","26372.1","26062.2","26893.5","30544","29446.1","30799.9",""
"Витрати на наукові дослідження і розробки","Дніпропетровська","Усього","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","1843750.8","2261934.6","2029774.4","2310005.4","1511469.5","2091685.3","1831110.3","3478511.9","2770319.5","3479284.7"
"Витрати на наукові дослідження і розробки","Донецька","Галузі наук","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","32503.1","22316.2","37763","21562.7","21879.5","28924.8",""
"Витрати на наукові дослідження і розробки","Житомирська","Види досліджень і розробок","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","26372.1","26062.2","","","","",""
"Витрати на наукові дослідження і розробки","Донецька","Види досліджень і розробок","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","32503.1","22316.2","","","","",""
"Витрати на наукові дослідження і розробки","Донецька","Джерела фінансування","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","32503.1","22316.2","37763","21562.7","21879.5","28924.8",""
"Витрати на наукові дослідження і розробки","Донецька","Види витрат","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","","","37763","21562.7","21879.5","28924.8",""
"Витрати на наукові дослідження і розробки","Дніпропетровська","Види витрат","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","","","2091685.3","1831110.3","3478511.9","2770319.5",""
"Витрати на наукові дослідження і розробки","Дніпропетровська","Види досліджень і розробок","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","2310005.4","1511469.5","","","","",""
"Витрати на наукові дослідження і розробки","Житомирська","Усього","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","21360.5","28098.6","30654.6","26372.1","26062.2","26893.5","30544","29446.1","30799.9","54388.5"
"Витрати на наукові дослідження і розробки","Івано-Франківська","Види витрат","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","","","58583.6","39571.6","51164.9","116601",""
"Витрати на наукові дослідження і розробки","Закарпатська","Усього","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","46430","55241.8","75107.8","77694.5","84933.8","117755.7","83428.3","72042.4","127380.8","145099.2"
"Витрати на наукові дослідження і розробки","Івано-Франківська","Галузі наук","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","42107.7","50990.2","58583.6","39571.6","51164.9","116601",""
"Витрати на наукові дослідження і розробки","Запорізька","Види досліджень і розробок","Усього","Річна","Гривня","Тисячі","Один","Конфіденційна статистична інформація","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".","","","","1538450","","","","","",""
"Витрати на наукові дослідження і розробки","Запорізька","Джерела фінансування","Усього","Річна","Гривня","Тисячі","Один","Конфіденційна статистична інформація","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".","","","","1538450","","","","","",""
"Витрати на наукові дослідження і розробки","Запорізька","Види витрат","Усього","Річна","Гривня","Тисячі","Один","Конфіденційна статистична інформація","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".","","","","","","","","","",""
"Витрати на наукові дослідження і розробки","Івано-Франківська","Джерела фінансування","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","42107.7","50990.2","58583.6","39571.6","51164.9","116601",""
"Витрати на наукові дослідження і розробки","Закарпатська","Галузі наук","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","77694.5","84933.8","117755.7","83428.3","72042.4","127380.8",""
"Витрати на наукові дослідження і розробки","Запорізька","Усього","Усього","Річна","Гривня","Тисячі","Один","Конфіденційна статистична інформація","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".","712401.9","914062.4","1387903.5","1538450","","","","","",""
"Витрати на наукові дослідження і розробки","Закарпатська","Види витрат","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","","","117755.7","83428.3","72042.4","127380.8",""
"Витрати на наукові дослідження і розробки","Івано-Франківська","Види досліджень і розробок","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","42107.7","50990.2","","","","",""
"Витрати на наукові дослідження і розробки","Закарпатська","Джерела фінансування","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","77694.5","84933.8","117755.7","83428.3","72042.4","127380.8",""
"Витрати на наукові дослідження і розробки","Запорізька","Галузі наук","Усього","Річна","Гривня","Тисячі","Один","Конфіденційна статистична інформація","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".","","","","1538450","","","","","",""
"Витрати на наукові дослідження і розробки","Івано-Франківська","Усього","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","20325.8","28051.2","47914.5","42107.7","50990.2","58583.6","39571.6","51164.9","116601","147482.9"
"Витрати на наукові дослідження і розробки","Закарпатська","Види досліджень і розробок","Усього","Річна","Гривня","Тисячі","Один","","1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","","","","","77694.5","84933.8","","","","",""
